ID,Case Number,Date,Block,Primary Type,Description,Location Description,Arrest,Beat,District,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Latitude,Longitude,Location
11034764,JA368182,7/28/17 20:00,035XX S PRAIRIE AVE,THEFT,$500 AND UNDER,STREET,FALSE,212,2,35,6,1178513,1881543,2017,41.83026023,-87.62053235,"(41.83026023, -87.620532351)"
11034765,JA368181,7/25/17 8:15,002XX W ADAMS ST,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),FALSE,122,1,32,6,1174642,1899412,2017,41.87938134,-87.6342012,"(41.879381337, -87.634201201)"
11034776,JA368160,7/28/17 21:30,022XX W WABANSIA AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,1434,14,24,7,1161056,1911422,2017,41.91263062,-87.68375281,"(41.912630617, -87.683752808)"
11034796,JA368200,7/28/17 8:00,023XX W WARREN BLVD,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,FALSE,1223,12,28,14,1160799,1900295,2017,41.88210256,-87.68500586,"(41.88210256, -87.685005864)"
11034800,JA368192,7/28/17 3:35,0000X W JACKSON BLVD,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,COMMERCIAL / BUSINESS OFFICE,FALSE,113,1,32,26,1176063,1898983,2017,41.87817225,-87.6289965,"(41.878172253, -87.628996501)"
11034831,JA368102,7/29/17 0:01,057XX S WENTWORTH AVE,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,232,2,68,14,1175946,1866969,2017,41.79032589,-87.63038802,"(41.790325892, -87.630388022)"
11034835,JA368145,7/29/17 1:00,054XX S ELLIS AVE,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,RESIDENCE PORCH/HALLWAY,FALSE,233,2,41,04B,1183866,1869676,2017,41.79757275,-87.60126326,"(41.797572754, -87.601263259)"
11034843,JA367145,7/28/17 13:30,011XX S CANAL ST,THEFT,FROM BUILDING,RESTAURANT,FALSE,124,1,28,6,1173303,1895451,2017,41.86854191,-87.63923536,"(41.868541914, -87.639235361)"
11034860,JA368117,7/28/17 9:00,036XX S RHODES AVE,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,FALSE,212,2,35,11,1180179,1881011,2017,41.82876229,-87.61443616,"(41.828762287, -87.614436164)"
11034879,JA368323,7/29/17 5:15,011XX E 55TH ST,BURGLARY,FORCIBLE ENTRY,RESTAURANT,FALSE,233,2,41,5,1184972,1868770,2017,41.7950607,-87.5972359,"(41.7950607, -87.597235895)"
11034884,JA368336,7/29/17 11:15,027XX W HARRISON ST,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,TRUE,1135,11,27,18,1158248,1897253,2017,41.87380752,-87.69445629,"(41.873807522, -87.69445629)"
11034916,JA368156,7/29/17 9:10,047XX S COTTAGE GROVE AVE,THEFT,RETAIL THEFT,SMALL RETAIL STORE,TRUE,223,2,38,6,1182389,1873821,2017,41.80898136,-87.60655105,"(41.808981361, -87.606551046)"
11034937,JA366802,7/28/17 3:40,055XX S LAKE SHORE DR SB,BATTERY,SIMPLE,LAKEFRONT/WATERFRONT/RIVERBANK,FALSE,235,2,41,08B,1189845,1868709,2017,41.79477742,-87.57936883,"(41.794777422, -87.57936883)"
11034952,JA368146,7/29/17 6:52,054XX S DREXEL AVE,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,FALSE,233,2,41,2,1183165,1869160,2017,41.79617316,-87.60384996,"(41.796173161, -87.603849957)"
11034956,JA368327,7/29/17 10:05,050XX S EAST END AVE,SEX OFFENSE,ATT CRIM SEXUAL ABUSE,RESIDENCE,FALSE,222,2,39,17,1188167,1871713,2017,41.80306083,-87.58542609,"(41.803060829, -87.585426093)"
11034958,JA368069,7/29/17 6:45,053XX S SHIELDS AVE,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE PORCH/HALLWAY,FALSE,935,9,37,04B,1174860,1869532,2017,41.79738332,-87.63429366,"(41.797383324, -87.634293657)"
11034964,JA368291,7/29/17 10:45,053XX S WABASH AVE,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,225,2,40,08B,1177621,1869628,2017,41.7975847,-87.62416585,"(41.797584699, -87.624165854)"
